timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1509765197066580,11,-1,-2,1,3,14,7,3
1509765197087610,-5,3,5,0,0,-6,-4,-2
1509765197087610,-6,-10,-18,-5,-1,-2,-4,-3
1509765197089599,-6,8,14,-3,-4,3,-4,-3
1509765197089599,-1,2,-2,-1,-2,-3,3,-1
1509765197101607,7,2,-8,5,1,1,1,1
1509765197101607,1,3,9,-2,0,-3,6,1
1509765197110614,-4,-8,7,17,-5,-2,-5,-3
1509765197110614,0,9,-8,-23,-1,-2,-2,2
1509765197132160,8,-9,2,5,1,4,4,1
1509765197132160,-26,-3,3,0,-1,2,1,-2
1509765197134164,-5,-7,-6,-5,0,-2,-2,-3
1509765197134164,-11,-4,8,10,-1,-6,-5,-3
1509765197146185,-2,-8,-9,-6,-4,-3,-1,-2
1509765197146185,9,5,0,-3,-3,-3,0,0
1509765197155177,-2,-6,8,9,5,-1,-3,-2
1509765197155177,2,-2,-11,-1,0,1,0,-1
1509765197161194,26,1,-2,-2,-1,3,1,2
1509765197161194,-23,16,7,4,-1,-3,-1,0
1509765197177192,-12,17,-3,-13,-7,-4,-3,-5
1509765197177192,-5,14,-4,1,-2,1,-1,-1
1509765197185211,-4,-35,-20,-4,0,0,-1,-3
1509765197185211,13,22,6,-2,2,5,-1,0
1509765197186213,4,-21,-2,-5,-1,2,-3,1
1509765197186213,4,10,15,5,2,-2,-2,0
1509765197207224,-4,34,8,1,-2,-1,0,-1
1509765197207224,8,-29,-17,-6,-3,-2,0,-3
1509765197209225,-8,-5,-7,-3,-2,-2,-1,-2
1509765197209225,8,-5,3,1,-1,0,-1,-1
1509765197221235,-9,-5,-6,3,1,-5,-1,0
1509765197221235,-1,-17,19,-7,-1,-1,0,-3
1509765197229779,4,20,-1,4,-3,-8,-5,-1
1509765197229779,-11,16,-2,8,3,5,1,1
1509765197244788,-20,-31,30,-8,1,-6,-4,-7
1509765197244788,10,22,-11,-11,1,-1,0,0
1509765197246789,8,-43,-6,-2,-5,-2,-2,0
1509765197246789,-5,-3,-11,4,3,-4,1,-1
1509765197274814,2,2,10,35,-8,1,1,0
1509765197274814,7,1,-46,-47,1,0,-2,1
1509765197276829,4,18,5,-3,1,3,1,0
1509765197276829,8,-20,32,-2,-1,-4,-1,-2
1509765197280815,-20,-2,-11,-10,-7,0,2,0
1509765197280815,6,-21,18,10,-3,0,-3,-3
1509765197289821,1,12,-31,2,0,-2,-1,1
1509765197289821,-3,6,-3,-5,-4,-3,-2,-2
1509765197304831,-1,-3,-5,-11,1,0,-2,-2
1509765197304831,1,2,17,9,-4,-1,-2,-2
1509765197306833,-5,9,8,0,5,-1,-3,0
1509765197306833,-1,-21,-10,3,2,-3,-1,-2
1509765197334914,2,11,-1,2,2,-3,0,-1
1509765197334914,-3,1,-2,14,1,-1,0,-1
1509765197341918,-3,3,-1,-17,1,-1,-1,1
1509765197341918,-3,-3,11,-4,-2,0,-1,-2
1509765197342937,0,-20,-32,-15,-2,-7,-2,-1
1509765197342937,-2,-1,30,11,-3,-1,-2,-2
1509765197349924,-6,7,-21,0,-3,-1,-4,-2
1509765197349924,-1,-11,-28,-9,0,1,0,-1
1509765197364936,-1,-2,-3,3,6,-1,-1,-1
1509765197364936,-1,10,16,4,-3,-3,-1,-1
1509765197366955,0,-1,17,5,-1,3,-1,0
1509765197366955,-3,-7,-6,-8,-1,4,-1,0
1509765197386950,1,5,0,1,1,-1,0,0
1509765197386950,-4,-6,-8,-2,1,-1,3,0
1509765197388952,-1,4,3,0,-3,1,-1,-3
1509765197388952,-2,-4,-15,7,3,-3,-4,-1
1509765197409984,0,2,22,12,0,1,0,-1
1509765197409984,-2,-2,-15,-29,-7,-1,-2,-2
1509765197411986,-4,-12,-13,3,0,-2,0,-1
1509765197411986,-1,-3,0,1,-3,-2,-2,-3
1509765197432500,1,2,4,-5,-3,-3,-2,-1
1509765197432500,2,9,0,0,-4,-2,-3,-2
1509765197434503,2,3,-16,9,7,2,1,0
1509765197434503,-1,-4,-4,-8,-1,-1,-1,-1
1509765197455535,-4,-16,26,-1,-2,-2,0,-2
1509765197455535,-4,5,-24,3,0,-1,-1,-2
1509765197457517,-2,8,10,-6,-4,-2,-3,-2
1509765197457517,0,-1,-10,0,-2,-2,-2,1
1509765197469526,2,5,-8,-5,1,4,0,1
1509765197469526,2,2,5,6,-1,0,-2,-1
1509765197476546,-4,-5,7,-5,-5,-3,-6,-2
1509765197476546,-2,-2,2,-2,-3,0,3,-2
1509765197484537,-3,-3,5,4,0,-3,0,-1
1509765197484537,-3,-1,-3,-7,-2,1,0,0
1509765197486538,-2,-6,-30,-14,-3,-4,-1,-2
1509765197486538,-2,-6,9,-3,-3,-1,-3,-2
1509765197507571,-3,2,-11,0,0,-1,-1,0
1509765197507571,1,3,7,6,0,-2,0,0
1509765197514059,0,1,15,1,1,-1,-1,-1
1509765197514059,-1,-3,3,4,-2,-3,-2,-2
1509765197546601,2,-3,-7,-4,1,1,1,-1
1509765197546601,0,1,-3,1,0,-5,-2,-2
1509765197547603,2,4,11,2,0,0,-1,1
1509765197547603,-11,3,-2,6,2,2,0,-1
1509765197548604,1,-2,-6,-9,-3,-3,-4,-2
1509765197548604,-5,-14,-26,-7,1,-2,-2,-1
1509765197568618,-6,1,24,14,-2,-5,-1,-3
1509765197568618,2,-5,-5,-25,-2,-2,-1,1
1509765197568618,0,0,-7,-3,0,0,1,1
1509765197568618,-3,4,-3,5,-4,1,0,-1
1509765197570621,0,1,4,-4,-2,1,0,2
1509765197570621,5,3,4,16,2,-1,-3,0
1509765197590635,1,6,-4,-15,1,0,-1,0
1509765197590635,-3,-3,21,6,0,3,-3,-1
1509765197591634,1,-4,1,-1,0,-3,-1,-2
1509765197591634,-7,-4,-2,4,0,-2,1,0
1509765197604644,0,0,-4,6,-2,-1,0,0
1509765197604644,2,8,0,-6,-2,-3,-2,-1
1509765197610648,1,0,-2,-4,0,-2,-2,0
1509765197610648,0,-5,-3,1,-5,-3,-1,-1
1509765197626163,-1,-2,6,4,-1,2,-1,0
1509765197626163,-1,-2,-6,-7,7,0,2,1
1509765197642677,-2,-5,-7,1,1,2,0,-3
1509765197642677,3,-11,-10,-6,-3,-6,-2,-2
1509765197649682,-5,-7,-14,-2,-4,-5,-4,-1
1509765197649682,2,3,3,1,-5,-3,-1,-1
1509765197651683,-1,6,8,0,0,1,-1,0
1509765197651683,-1,-1,-3,6,1,1,-1,1
1509765197672699,-4,-8,0,-4,-1,1,-1,-2
1509765197672699,1,5,-17,17,-1,0,0,-2
1509765197674700,3,5,4,-29,-4,4,0,0
1509765197674700,-2,-12,9,1,4,3,-1,-2
1509765197685707,3,-23,-35,-11,-3,-5,-3,-1
1509765197685707,-1,8,7,-2,-1,-1,0,-2
1509765197694715,0,1,1,10,0,0,-2,0
1509765197694715,1,4,9,2,-4,-2,-2,-1
1509765197709725,-2,-1,9,-1,7,2,0,0
