timestamp,x,y,z
1509765196283824,0.279297,-0.411621,0.879395
1509765196306829,0.280762,-0.411133,0.884277
1509765196322899,0.287598,-0.412109,0.879883
1509765196343441,0.285645,-0.410645,0.882813
1509765196366456,0.282227,-0.413574,0.880371
1509765196388482,0.280273,-0.410645,0.878906
1509765196411500,0.278809,-0.409668,0.883301
1509765196428670,0.285156,-0.403809,0.882813
1509765196457680,0.281738,-0.412109,0.882324
1509765196464685,0.274902,-0.409668,0.872559
1509765196519245,0.281738,-0.416016,0.876953
1509765196520244,0.274414,-0.418945,0.876465
1509765196531784,0.275391,-0.416992,0.880859
1509765196554843,0.28418,-0.413086,0.887207
1509765196565813,0.276855,-0.407715,0.884766
1509765196593839,0.279297,-0.40918,0.89209
1509765196607841,0.273926,-0.410645,0.884766
1509765196643948,0.288574,-0.42041,0.884766
1509765196653965,0.278809,-0.413086,0.893555
1509765196667958,0.270508,-0.408203,0.874023
1509765196688981,0.282715,-0.40625,0.881836
1509765196705994,0.28418,-0.409668,0.882324
1509765196736106,0.277344,-0.415039,0.884766
1509765196759112,0.284668,-0.412598,0.883301
1509765196766120,0.282715,-0.411133,0.876465
1509765196788135,0.275391,-0.424805,0.888672
1509765196809158,0.274414,-0.410645,0.884766
1509765196832231,0.274902,-0.405273,0.885254
1509765196856242,0.278809,-0.418945,0.878418
1509765196862249,0.286621,-0.413086,0.890137
1509765196886270,0.299316,-0.412109,0.885742
1509765196909295,0.281738,-0.408691,0.895996
1509765196931440,0.257813,-0.40918,0.880859
1509765196945448,0.259766,-0.415527,0.883789
1509765196968463,0.275879,-0.430664,0.882324
1509765196989488,0.26123,-0.412109,0.888672
1509765197021018,0.264648,-0.407227,0.890625
1509765197035558,0.268555,-0.399414,0.869629
1509765197049568,0.297852,-0.405273,0.884766
1509765197065580,0.31543,-0.408203,0.889648
1509765197088602,0.282227,-0.401855,0.883301
1509765197109626,0.273438,-0.403809,0.875488
1509765197133164,0.261719,-0.408691,0.86377
1509765197154191,0.264648,-0.401367,0.870117
1509765197177192,0.26123,-0.421875,0.875488
1509765197186213,0.275391,-0.415039,0.899902
1509765197208215,0.233887,-0.407227,0.872559
1509765197229779,0.243652,-0.385254,0.871094
1509765197245789,0.27832,-0.418945,0.905273
1509765197275810,0.298828,-0.406738,0.884766
1509765197289821,0.31543,-0.367188,0.865234
1509765197305832,0.320801,-0.417969,0.885254
1509765197335915,0.334473,-0.400879,0.882813
1509765197348924,0.280273,-0.410645,0.888672
1509765197365936,0.260742,-0.416504,0.883301
1509765197387950,0.266113,-0.407715,0.884277
1509765197410967,0.275391,-0.402832,0.890625
1509765197433501,0.269531,-0.402832,0.882324
1509765197456516,0.279785,-0.413574,0.90918
1509765197470527,0.285645,-0.401855,0.871094
1509765197485537,0.291504,-0.390137,0.884766
